Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
326,78,0.8164984472049689,0.025950382846754622,0.005250787734985352,0.0009358638092697534,0.002989053726196289,0.000986639065066371,gini,13,1,6,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.8375,0.85625,0.7875
328,80,0.8164906832298137,0.028860319628725196,0.00465087890625,0.0013905081425646456,0.003004598617553711,0.00029940989805187965,gini,13,1,8,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.79375,0.84375,0.85625,0.78125
184,80,0.8164906832298137,0.02446513946561885,0.006544828414916992,0.004309127192507121,0.005010843276977539,0.0040087317403314235,gini,7,2,9,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 9}",0.8074534161490683,0.78125,0.85,0.8375,0.80625
230,80,0.8164906832298137,0.02747349721226227,0.013196611404418945,0.009418726391195412,0.008017778396606445,0.006877623698712997,gini,9,2,5,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8074534161490683,0.7875,0.8625,0.83125,0.79375
207,83,0.8164829192546582,0.025156412922092548,0.003985357284545898,0.00022542788197277484,0.0024993896484375,0.00012892396428797862,gini,8,2,7,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 7}",0.8136645962732919,0.79375,0.85625,0.83125,0.7875
582,83,0.8164829192546582,0.025770042900756372,0.004287147521972656,0.0009583353770139391,0.0025948524475097657,0.00015261974598245444,entropy,8,2,7,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 7}",0.8136645962732919,0.78125,0.85625,0.83125,0.8
179,85,0.81527950310559,0.028556124378089763,0.0038771629333496094,0.00028794703213537876,0.0027571678161621093,0.000409257685404354,gini,7,1,9,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.7763975155279503,0.7875,0.85,0.8375,0.825
560,86,0.8152562111801244,0.020124577051953235,0.0038642406463623045,0.0003959829690913276,0.002544403076171875,0.0002948106033581516,entropy,7,3,5,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.7950310559006211,0.8,0.85,0.825,0.80625
564,86,0.8152562111801244,0.02198007282790491,0.0038994789123535157,0.0001450425142943345,0.002496957778930664,0.00014247595861800066,entropy,7,3,9,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 9}",0.7950310559006211,0.79375,0.85,0.83125,0.80625
563,86,0.8152562111801244,0.020124577051953235,0.0039052486419677733,0.00024132720568131177,0.0026204586029052734,0.00016224204748422762,entropy,7,3,8,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.7950310559006211,0.8,0.85,0.825,0.80625
561,86,0.8152562111801244,0.020124577051953235,0.003915596008300781,0.00030057858328419934,0.0026903629302978517,0.00020826314742192735,entropy,7,3,6,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 6}",0.7950310559006211,0.8,0.85,0.825,0.80625
562,86,0.8152562111801244,0.020124577051953235,0.003974056243896485,0.000172143867378711,0.0025023460388183595,0.00017719044237387167,entropy,7,3,7,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 7}",0.7950310559006211,0.8,0.85,0.825,0.80625
253,91,0.8152562111801241,0.02589640132373616,0.00404200553894043,0.00015064444290589074,0.0028566837310791014,0.0002461759471025916,gini,10,1,8,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.79375,0.85,0.84375,0.79375
228,91,0.8152562111801241,0.023690685965585788,0.004680252075195313,0.0010981100982180054,0.002824258804321289,0.0003306594052258925,gini,9,1,8,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.79375,0.85,0.8375,0.8
