Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
0,11,,,0.0016513903935750326,0.0004899916653860607,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,,,0.0015990336736043294,0.0006814327049962186,0.0,0.0,10.0,elasticnet,"{'C': 10.0, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,13,,,0.0015334844589233398,0.0005668211869257182,0.0,0.0,46.41588833612773,elasticnet,"{'C': 46.41588833612773, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14,,,0.001686239242553711,0.0007152748359673457,0.0,0.0,215.44346900318823,l1,"{'C': 215.44346900318823, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,15,,,0.0015147209167480468,0.0006868202966067651,0.0,0.0,215.44346900318823,elasticnet,"{'C': 215.44346900318823, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,16,,,0.0017189900080362955,0.0008063877675789894,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,,,0.002042682965596517,0.0016855954790417887,0.0,0.0,46.41588833612773,l1,"{'C': 46.41588833612773, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,0.002656404177347819,0.00423260140291467,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19,,,0.0017157634099324544,0.001386808633580521,0.0,0.0,0.46415888336127775,elasticnet,"{'C': 0.46415888336127775, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,,,0.0015065511067708333,0.00032413213459198055,0.0,0.0,2.154434690031882,l1,"{'C': 2.154434690031882, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,,,0.006339406967163086,0.008134099809969939,0.0,0.0,0.46415888336127775,l1,"{'C': 0.46415888336127775, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,,,0.0033018747965494794,0.004704145360160959,0.0,0.0,0.1,elasticnet,"{'C': 0.1, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23,,,0.0036664883295694987,0.004768618915613728,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,,,0.0053540229797363285,0.0074215448296636784,0.0,0.0,0.021544346900318832,elasticnet,"{'C': 0.021544346900318832, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,,,0.0041508356730143225,0.004872311571189355,0.0,0.0,0.021544346900318832,l1,"{'C': 0.021544346900318832, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,,,0.0022530237833658854,0.0019032111031649901,0.0,0.0,0.004641588833612777,elasticnet,"{'C': 0.004641588833612777, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,,,0.004070281982421875,0.007638431970599113,0.0,0.0,0.004641588833612777,l1,"{'C': 0.004641588833612777, 'penalty': 'l1'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,,0.0025527477264404297,0.003976128708925977,0.0,0.0,0.001,elasticnet,"{'C': 0.001, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,29,,,0.001342646280924479,0.00019520635018085422,0.0,0.0,2.154434690031882,elasticnet,"{'C': 2.154434690031882, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,0.001098481814066569,0.0004233136899625368,0.0,0.0,1000.0,elasticnet,"{'C': 1000.0, 'penalty': 'elasticnet'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
