Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
564,997,0.8133475828033228,0.028687634097308106,0.007695213953653971,0.0002715109196980929,0.002466265360514323,0.0001690044123047636,gini,11,2,7,best,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.7841726618705036,0.8489208633093526,0.8201438848920863,0.8273381294964028,0.841726618705036,0.8129496402877698,0.8057553956834532,0.7898550724637681,0.7681159420289855,0.8623188405797102,0.8115942028985508,0.8405797101449275,0.7971014492753623,0.855072463768116,0.8115942028985508,0.8768115942028986,0.7971014492753623,0.7898550724637681,0.7536231884057971,0.8043478260869565,0.8260869565217391,0.7898550724637681,0.7971014492753623,0.8260869565217391,0.7971014492753623,0.8405797101449275,0.8115942028985508,0.782608695652174,0.782608695652174,0.8478260869565217
701,998,0.8133475828033226,0.028326275154460193,0.006259441375732422,0.0013524075552308545,0.0026583433151245116,0.00023693651139686367,gini,14,1,5,random,"{'criterion': 'gini', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",0.8057553956834532,0.8345323741007195,0.8345323741007195,0.8273381294964028,0.8273381294964028,0.7841726618705036,0.8273381294964028,0.7971014492753623,0.8188405797101449,0.8695652173913043,0.8115942028985508,0.8043478260869565,0.8405797101449275,0.8695652173913043,0.8115942028985508,0.8768115942028986,0.7898550724637681,0.782608695652174,0.7536231884057971,0.7898550724637681,0.8188405797101449,0.7681159420289855,0.7971014492753623,0.8260869565217391,0.8188405797101449,0.8043478260869565,0.7898550724637681,0.782608695652174,0.8043478260869565,0.8333333333333334
1236,999,0.8133441073228374,0.028527017195425157,0.0076200644175211584,0.00030620422602235,0.002651802698771159,0.00019249464603052175,entropy,9,4,8,best,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'best'}",0.7913669064748201,0.841726618705036,0.8345323741007195,0.841726618705036,0.7985611510791367,0.8129496402877698,0.8345323741007195,0.7681159420289855,0.8043478260869565,0.8695652173913043,0.7971014492753623,0.8478260869565217,0.8043478260869565,0.8260869565217391,0.8478260869565217,0.8623188405797102,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7753623188405797,0.8043478260869565,0.782608695652174,0.8115942028985508,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8115942028985508,0.8405797101449275
1230,999,0.8133441073228374,0.028527017195425157,0.008228151003519694,0.0012260143684420513,0.0028639316558837892,0.0007644829866795504,entropy,9,4,5,best,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",0.7913669064748201,0.841726618705036,0.8345323741007195,0.841726618705036,0.7985611510791367,0.8129496402877698,0.8345323741007195,0.7681159420289855,0.8043478260869565,0.8695652173913043,0.7971014492753623,0.8478260869565217,0.8043478260869565,0.8260869565217391,0.8478260869565217,0.8623188405797102,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7753623188405797,0.8043478260869565,0.782608695652174,0.8115942028985508,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8115942028985508,0.8405797101449275
1234,999,0.8133441073228374,0.028527017195425157,0.00858008066813151,0.0033009330047198554,0.00256810983022054,0.00016190881111837637,entropy,9,4,7,best,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'best'}",0.7913669064748201,0.841726618705036,0.8345323741007195,0.841726618705036,0.7985611510791367,0.8129496402877698,0.8345323741007195,0.7681159420289855,0.8043478260869565,0.8695652173913043,0.7971014492753623,0.8478260869565217,0.8043478260869565,0.8260869565217391,0.8478260869565217,0.8623188405797102,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7753623188405797,0.8043478260869565,0.782608695652174,0.8115942028985508,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8115942028985508,0.8405797101449275
496,1002,0.8133423695825946,0.02741643216846193,0.008252882957458496,0.001896488295181641,0.002685252825419108,0.000409181212893015,gini,9,5,8,best,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7913669064748201,0.8345323741007195,0.8489208633093526,0.8345323741007195,0.8201438848920863,0.8129496402877698,0.8201438848920863,0.7681159420289855,0.7971014492753623,0.8695652173913043,0.8115942028985508,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.7898550724637681,0.8768115942028986,0.8043478260869565,0.7898550724637681,0.7463768115942029,0.7898550724637681,0.7971014492753623,0.7898550724637681,0.8043478260869565,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8188405797101449,0.8188405797101449,0.8405797101449275
514,1003,0.8133406318423522,0.028108655328785422,0.007814264297485352,0.001616801625926016,0.0027783711751302085,0.0002924801985443635,gini,10,2,7,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.7841726618705036,0.8489208633093526,0.8345323741007195,0.841726618705036,0.8057553956834532,0.8129496402877698,0.841726618705036,0.7753623188405797,0.782608695652174,0.855072463768116,0.8115942028985508,0.8478260869565217,0.8043478260869565,0.8405797101449275,0.8115942028985508,0.8768115942028986,0.8043478260869565,0.8043478260869565,0.7391304347826086,0.8115942028985508,0.7971014492753623,0.8043478260869565,0.8043478260869565,0.8115942028985508,0.7971014492753623,0.8333333333333334,0.8043478260869565,0.7753623188405797,0.7971014492753623,0.8405797101449275
1049,1004,0.8133354186216245,0.024718596991269274,0.007205533981323242,0.004804002424546953,0.002949070930480957,0.0008698733756517592,entropy,5,5,9,random,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'random'}",0.8345323741007195,0.8201438848920863,0.8273381294964028,0.8273381294964028,0.8057553956834532,0.8345323741007195,0.841726618705036,0.782608695652174,0.8188405797101449,0.8405797101449275,0.8188405797101449,0.8188405797101449,0.7753623188405797,0.8115942028985508,0.8405797101449275,0.7753623188405797,0.8043478260869565,0.8188405797101449,0.7971014492753623,0.8260869565217391,0.8333333333333334,0.782608695652174,0.8260869565217391,0.7753623188405797,0.8043478260869565,0.8333333333333334,0.8478260869565217,0.8188405797101449,0.7391304347826086,0.8188405797101449
663,1005,0.8133336808813818,0.032112583449014305,0.0059831460316975916,0.0008433319987038396,0.0026332775751749674,0.00020124036199216882,gini,13,2,6,random,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'}",0.8345323741007195,0.8561151079136691,0.8057553956834532,0.8129496402877698,0.8345323741007195,0.8201438848920863,0.8345323741007195,0.7753623188405797,0.8043478260869565,0.855072463768116,0.8188405797101449,0.8478260869565217,0.8188405797101449,0.8768115942028986,0.855072463768116,0.855072463768116,0.8043478260869565,0.7898550724637681,0.7246376811594203,0.7898550724637681,0.8115942028985508,0.7536231884057971,0.782608695652174,0.7971014492753623,0.8188405797101449,0.8115942028985508,0.8188405797101449,0.7753623188405797,0.7971014492753623,0.8188405797101449
444,1006,0.8131112501303304,0.027196742985848295,0.007516026496887207,0.0007737603099773193,0.0026398420333862303,0.0003337545445347047,gini,8,5,7,best,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7913669064748201,0.8273381294964028,0.841726618705036,0.8273381294964028,0.7841726618705036,0.8129496402877698,0.8345323741007195,0.782608695652174,0.7971014492753623,0.8840579710144928,0.8043478260869565,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.8260869565217391,0.8623188405797102,0.8260869565217391,0.8115942028985508,0.7463768115942029,0.7753623188405797,0.782608695652174,0.782608695652174,0.8115942028985508,0.8115942028985508,0.8043478260869565,0.8188405797101449,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8405797101449275
438,1007,0.813109512390088,0.02876906599419131,0.007849399248758953,0.0011005376503718063,0.002695727348327637,0.0005063771153823834,gini,8,4,9,best,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'best'}",0.7913669064748201,0.8273381294964028,0.841726618705036,0.8273381294964028,0.7841726618705036,0.8129496402877698,0.841726618705036,0.782608695652174,0.7971014492753623,0.8840579710144928,0.8115942028985508,0.8478260869565217,0.8115942028985508,0.7971014492753623,0.8260869565217391,0.8623188405797102,0.8260869565217391,0.8188405797101449,0.7318840579710145,0.7753623188405797,0.782608695652174,0.782608695652174,0.8115942028985508,0.8043478260869565,0.8043478260869565,0.8188405797101449,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8405797101449275
448,1008,0.8131095123900879,0.027398808614533435,0.007458337148030599,0.0010257701151687151,0.003043349583943685,0.0016138773602768625,gini,8,5,9,best,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'best'}",0.7913669064748201,0.8345323741007195,0.841726618705036,0.8273381294964028,0.7841726618705036,0.8129496402877698,0.8345323741007195,0.782608695652174,0.7971014492753623,0.8840579710144928,0.8043478260869565,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.8260869565217391,0.8623188405797102,0.8260869565217391,0.8115942028985508,0.7463768115942029,0.7753623188405797,0.782608695652174,0.782608695652174,0.8115942028985508,0.8043478260869565,0.8043478260869565,0.8188405797101449,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8405797101449275
442,1008,0.8131095123900879,0.027398808614533435,0.007785669962565104,0.002147636542163492,0.0028607845306396484,0.001184052133497647,gini,8,5,6,best,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.7913669064748201,0.8345323741007195,0.841726618705036,0.8273381294964028,0.7841726618705036,0.8129496402877698,0.8345323741007195,0.782608695652174,0.7971014492753623,0.8840579710144928,0.8043478260869565,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.8260869565217391,0.8623188405797102,0.8260869565217391,0.8043478260869565,0.7463768115942029,0.7753623188405797,0.782608695652174,0.782608695652174,0.8115942028985508,0.8115942028985508,0.8043478260869565,0.8188405797101449,0.8260869565217391,0.8115942028985508,0.8115942028985508,0.8405797101449275
614,1010,0.8131042991693602,0.03282751054916113,0.007766604423522949,0.0002505703705508314,0.0026210784912109376,0.00016265691304218787,gini,12,2,7,best,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.7841726618705036,0.8633093525179856,0.8345323741007195,0.8201438848920863,0.8345323741007195,0.8057553956834532,0.8057553956834532,0.7898550724637681,0.8043478260869565,0.855072463768116,0.8115942028985508,0.8333333333333334,0.8043478260869565,0.8768115942028986,0.8260869565217391,0.8623188405797102,0.7898550724637681,0.7681159420289855,0.7318840579710145,0.8115942028985508,0.8405797101449275,0.7971014492753623,0.782608695652174,0.8115942028985508,0.8043478260869565,0.8333333333333334,0.8188405797101449,0.7463768115942029,0.7898550724637681,0.855072463768116
1414,1010,0.8131042991693602,0.03143220059451026,0.009105896949768067,0.001751074070488118,0.0028533140818277993,0.0008343527998464574,entropy,13,2,7,best,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.8057553956834532,0.841726618705036,0.8273381294964028,0.8201438848920863,0.8345323741007195,0.8129496402877698,0.8057553956834532,0.7753623188405797,0.7971014492753623,0.8623188405797102,0.8043478260869565,0.8405797101449275,0.8115942028985508,0.8840579710144928,0.8043478260869565,0.8623188405797102,0.7971014492753623,0.7608695652173914,0.7463768115942029,0.8188405797101449,0.8333333333333334,0.8043478260869565,0.7898550724637681,0.8115942028985508,0.7898550724637681,0.8188405797101449,0.8115942028985508,0.7608695652173914,0.7898550724637681,0.8695652173913043
490,1012,0.8131025614291174,0.027261060355391418,0.008598264058430989,0.0015299112638130312,0.002937873204549154,0.0007816162264520115,gini,9,5,5,best,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.7913669064748201,0.8273381294964028,0.8489208633093526,0.8345323741007195,0.8201438848920863,0.8129496402877698,0.8201438848920863,0.7681159420289855,0.7971014492753623,0.8695652173913043,0.8115942028985508,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.7898550724637681,0.8768115942028986,0.8043478260869565,0.7898550724637681,0.7463768115942029,0.7898550724637681,0.7971014492753623,0.7898550724637681,0.8043478260869565,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8188405797101449,0.8188405797101449,0.8405797101449275
1488,1013,0.8131008236888752,0.03399809361906619,0.009125447273254395,0.0023990010248911764,0.002751445770263672,0.0008123112441048785,entropy,14,4,9,best,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'best'}",0.7985611510791367,0.8489208633093526,0.841726618705036,0.8129496402877698,0.8561151079136691,0.8129496402877698,0.7913669064748201,0.7898550724637681,0.7971014492753623,0.8768115942028986,0.8188405797101449,0.8405797101449275,0.8043478260869565,0.8478260869565217,0.8333333333333334,0.8913043478260869,0.7753623188405797,0.7536231884057971,0.7608695652173914,0.7971014492753623,0.8405797101449275,0.7753623188405797,0.7898550724637681,0.8188405797101449,0.7971014492753623,0.8115942028985508,0.7971014492753623,0.7681159420289855,0.782608695652174,0.8623188405797102
979,1014,0.813100823688875,0.023852948305191777,0.006780298550923666,0.002181175808983969,0.004119412104288737,0.002907627321667099,entropy,4,3,9,random,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 9, 'splitter': 'random'}",0.8057553956834532,0.8129496402877698,0.8345323741007195,0.841726618705036,0.8129496402877698,0.8129496402877698,0.841726618705036,0.782608695652174,0.8188405797101449,0.8478260869565217,0.8188405797101449,0.782608695652174,0.8188405797101449,0.7753623188405797,0.8043478260869565,0.855072463768116,0.7681159420289855,0.7898550724637681,0.7753623188405797,0.8260869565217391,0.8260869565217391,0.782608695652174,0.8333333333333334,0.8043478260869565,0.8043478260869565,0.8333333333333334,0.7971014492753623,0.8260869565217391,0.8043478260869565,0.855072463768116
494,1015,0.8131008236888749,0.02752631343073023,0.008115092913309732,0.0018383793909863642,0.002933653195699056,0.001342949003587329,gini,9,5,7,best,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7913669064748201,0.8345323741007195,0.8489208633093526,0.8345323741007195,0.8201438848920863,0.8129496402877698,0.8201438848920863,0.7681159420289855,0.7971014492753623,0.8695652173913043,0.8115942028985508,0.8478260869565217,0.8043478260869565,0.8043478260869565,0.7898550724637681,0.8768115942028986,0.7971014492753623,0.7898550724637681,0.7463768115942029,0.7898550724637681,0.7971014492753623,0.7898550724637681,0.8043478260869565,0.8260869565217391,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8188405797101449,0.8188405797101449,0.8405797101449275
