Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
946,29,0.814052795031056,0.04111624144729064,0.004451608657836914,3.187063421647792e-05,0.003084135055541992,0.00012958749657464012,entropy,3,5,8,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
930,29,0.814052795031056,0.04111624144729064,0.004544878005981445,0.00020160123543247016,0.0030284404754638674,0.00012641828104510155,entropy,3,4,5,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
926,29,0.814052795031056,0.04111624144729064,0.004576778411865235,0.00014067678902129042,0.0027680397033691406,0.00012719357468824662,entropy,3,3,8,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
900,29,0.814052795031056,0.04111624144729064,0.0045778751373291016,0.00017646782696116922,0.002882051467895508,0.00021075584221314246,entropy,3,1,5,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
948,29,0.814052795031056,0.04111624144729064,0.004600811004638672,0.000128265774337352,0.002902698516845703,0.00015714287015873213,entropy,3,5,9,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
902,29,0.814052795031056,0.04111624144729064,0.004637384414672851,0.00017434953247427718,0.0027161121368408205,3.395984561452886e-05,entropy,3,1,6,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
904,29,0.814052795031056,0.04111624144729064,0.0046497821807861325,0.000132638030532471,0.0028363704681396485,4.608146994313397e-05,entropy,3,1,7,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
924,29,0.814052795031056,0.04111624144729064,0.004953765869140625,0.000236548461214065,0.002860355377197266,5.410061674408179e-05,entropy,3,3,7,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
922,29,0.814052795031056,0.04111624144729064,0.004979324340820312,5.338349048268357e-05,0.0027407169342041015,6.595876599045637e-05,entropy,3,3,6,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
918,29,0.814052795031056,0.04111624144729064,0.0051666259765625,0.0008330193612653322,0.003006744384765625,0.00029460813380676414,entropy,3,2,9,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
936,29,0.814052795031056,0.04111624144729064,0.005295705795288086,0.0011160863644741248,0.0038800716400146486,0.0013557599192935746,entropy,3,4,8,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
942,29,0.814052795031056,0.04111624144729064,0.00530858039855957,0.0010721809353809778,0.005318164825439453,0.005011757677460703,entropy,3,5,6,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
932,29,0.814052795031056,0.04111624144729064,0.0053827762603759766,0.0009639107056343834,0.003614950180053711,0.0013660520789248337,entropy,3,4,6,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
944,29,0.814052795031056,0.04111624144729064,0.005469989776611328,0.0010704859688132507,0.002772235870361328,8.413731865847436e-05,entropy,3,5,7,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
910,29,0.814052795031056,0.04111624144729064,0.0056651592254638675,0.0010450319861684224,0.002904462814331055,0.00024134854511566404,entropy,3,2,5,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
940,29,0.814052795031056,0.04111624144729064,0.005697107315063477,0.001651730696760388,0.0030945777893066407,0.000251785444018353,entropy,3,5,5,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
